Année,Autonomie_constructeur,Boîte_de_vitesse,Capacité_batterie,Classe_Emission,Conso_batterie,Consommation_mixte,Contrôle_technique,Couleur_extérieure,Couleur_intérieure,CritAir,Garantie,Garantie_constructeur,Intensité_batterie,Kilométrage_compteur,Lien,Localisation,Mise_en_circulation,Nom_Vendeur,Nombre_de_places,Nombre_de_portes,Nombre_de_propriétaires,Norme_Euro,Première_main,Prime_à_la_conversion,Prix_inclut_la_batterie,Provenance,Puissance_din,Puissance_fiscale,Puissance_moteur,Rechargeable,Type_Vendeur,Voltage_batterie,Vérifié_Et_Garanti,marque,modele,niveau_equipement,nom_complet,prix,ref_annonce,ref_pro,Émissions_de_CO2,Énergie
2022,,automatique,,C,,5.8 l/100km,non requis,gris,,1,24 mois,,,9 308 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111252774.html,ESCALQUENS (31),26/01/2023,AUDI TOULOUSE,5,5,1,EURO6,oui,,,,110 ch,6 CV,,,Vendeur professionnel,,Audi occasions :plus,Audi,A1 (2E GENERATION) SPORTBACK,Très bien équipé,AUDI A1 II 30 TFSI 110 S LINE S TRONIC 7,32 080 €,E111252774,67169,135 g/km,Essence
2020,,mécanique,,A,,,non requis,blanc,,2,12 mois,,,46 994 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111339911.html,VILLENEUVE D ASCQ (59),26/10/2020,SPOTICAR STELLANTIS &YOU VILLENEUVE D'ASCQ,5,5,2,EURO6,non,,,,102 ch,5 CV,,,Vendeur professionnel,,SPOTICAR,Peugeot,208 (2E GENERATION),Bien équipé,PEUGEOT 208 II 1.5 BLUEHDI 100 S&S ALLURE,16 430 €,E111339911,453878,95 g/km,Diesel
2022,,mécanique,,B,,5.3 l/100km,non requis,noir,,1,12 mois,en cours,,13 466 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111265367.html,BOIS COLOMBES (92),19/04/2022,SPOTICAR STELLANTIS &YOU BOIS-COLOMBES,5,5,1,EURO6,oui,,,,101 ch,5 CV,,,Vendeur professionnel,,SPOTICAR,Peugeot,208 (2E GENERATION),Très bien équipé,PEUGEOT 208 II 1.5 PURETECH 100 S&S ROADTRIP,27 090 €,E111265367,441619,118 g/km,Essence
2015,,mécanique,,B,,4.4 l/100km,requis,noir,,1,12 mois,,,95 109 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111203379.html,CHANAS (38),27/03/2015,CHANAS AUTO,5,5,2,EURO5,non,,,,86 ch,5 CV,,,Vendeur professionnel,,,Audi,A1 SPORTBACK,Bien équipé,AUDI A1 SPORTBACK 1.2 TFSI 86 S LINE,19 980 €,E111203379,241710,118 g/km,Essence
2011,,mécanique,,E,,7.6 l/100km,requis,noir verni,cuir noir,2,6 mois,,,71 334 Km,https://www.lacentrale.fr//auto-occasion-annonce-87102427750.html,CHARNAY LES MACON (71),03/11/2011,GUILLEMAUD EXCELLENCE AUTO CHARNAY LES MACON,2,2,,EURO4,non,,,,160 ch,10 CV,118 kW,,Vendeur professionnel,,,Mazda,MX5 (3E GENERATION),Equipement standard,MAZDA MX5 III ROADSTER 2.0 MZR 160 PERFORMANCE,21 400 €,W102427750,,181 g/km,Essence
2015,,mécanique,,B,,4.5 l/100km,requis,blanc opaque (verni sans reflet),tissu noir,1,3 mois,,,130 433 Km,https://www.lacentrale.fr//auto-occasion-annonce-87102484224.html,BANTZENHEIM (68),19/10/2015,SUNDGOVIA AUTOMOBILES,5,5,,EURO5,non,,,Importé,82 ch,4 CV,60 kW,,Vendeur professionnel,,,Peugeot,208,Equipement standard,PEUGEOT 208 1.2 PURETECH 82 STYLE 5P,9 610 €,W102484224,344,104 g/km,Essence
2023,,mécanique,,,,,non requis,orange,,,34 mois,,,12 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111296758.html,MIONS (69),26/05/2023,MIONS CAR COM,,5,,,oui,,,Importé,130 ch,7 CV,,,Vendeur professionnel,,,Dacia,DUSTER 2,,DACIA DUSTER 1.3 TCE 130 CONFORT,25 720 €,E111296758,241222,,Essence
2015,,mécanique,,C,,5.2 l/100km,requis,bleu,noir,1,12 mois,,,134 460 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111211261.html,PARIS (75),04/05/2015,AUTOHERO - PARIS - 100% VENTE A DISTANCE,4,3,,EURO5,non,,,,122 ch,7 CV,,,Vendeur professionnel,,,Mini,PACEMAN,Equipement standard,MINI PACEMAN 1.6 COOPER PACK CHILI,14 520 €,E111211261,WF90643,140 g/km,Essence
2021,,automatique,,C,,6.2 l/100km,non requis,gris,,1,12 mois,,,31 933 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111136436.html,PESSAC (33),29/08/2021,SPOTICAR STELLANTIS &YOU PESSAC,5,5,1,EURO6,oui,,,,155 ch,8 CV,,,Vendeur professionnel,,SPOTICAR,Peugeot,2008 (2E GENERATION),Très bien équipé,PEUGEOT 2008 II 1.2 PURETECH 155 S&S GT EAT8,32 580 €,E111136436,422545,140 g/km,Essence
2023,,automatique,,A,,,non requis,noir,SELLERIE CUIR DE SYNTHESE / TISSU,1,83 mois,en cours,24 A,8 869 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111210904.html,NIMES (30),19/01/2024,ETS MOURIER,5,5,1,EURO6,non,,oui,,105 ch,5 CV,,oui,Vendeur professionnel,,,Kia,XCEED,Bien équipé,KIA XCEED (2) 1.6 GDI PHEV 141 ACTIVE DCT6,37 720 €,E111210904,2466,32 g/km,Hybride essence électrique
2021,,mécanique,,C,,5.2 l/100km,non requis,GRIS FONCE,???? ????,2,12 mois,,,81 293 Km,https://www.lacentrale.fr//auto-occasion-annonce-69110821730.html,MARMANDE (47),07/12/2021,CITROEN MARMANDE,5,5,1,EURO6,oui,,,,131 ch,6 CV,,,Vendeur professionnel,,,Citroen,C5 AIRCROSS,Bien équipé,CITROEN C5 AIRCROSS 1.5 BLUEHDI 130 S&S FEEL BV6,26 470 €,E110821730,VO220638,138 g/km,Diesel
2019,,automatique,,B,,3.9 l/100km,non requis,blanc,,2,3 mois,,,127 920 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111129625.html,CHATILLON SUR CHALARONNE (01),21/12/2019,LUKAS AUTOS,5,5,2,EURO6,non,,,,181 ch,9 CV,,,Vendeur professionnel,,,Ds,5,Bien équipé,DS DS 5 (2) 2.0 BLUEHDI 180 S&S EXECUTIVE EAT6,22 740 €,E111129625,5825,113 g/km,Diesel
2023,,automatique,,D,,,non requis,noir,,,24 mois,,,12 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111343048.html,ISLES LES VILLENOY (77),29/09/2023,QARSON,,5,,,non,,,Européen,110 ch,6 CV,,,Vendeur professionnel,,,Volkswagen,T-CROSS,,VOLKSWAGEN T-CROSS LIFE TECH 1.0 TSI 110CH AUTOMATIQUE,33 170 €,E111343048,LCuS70600uNew,142 g/km,Essence
2022,,automatique,,C,,4.8 l/100km,non requis,GRIS ARTENSE/TOIT NOIR,???? ????,2,24 mois,en cours,,33 232 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111284438.html,TOULENNE (33),05/09/2022,CITROEN LANGON,5,5,1,EURO6,oui,,,,131 ch,7 CV,,,Vendeur professionnel,,,Ds,3 CROSSBACK,Très bien équipé,DS DS 3 CROSSBACK 1.5 BLUEHDI 130 CONNECTED CHIC AUTO,35 820 €,E111284438,VO011986,127 g/km,Diesel
2019,,automatique,,B,,5.2 l/100km,non requis,blanc,noir,1,12 mois,,,49 954 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111329876.html,PARIS (75),04/03/2019,AUTOHERO - PARIS - 100% VENTE A DISTANCE,5,5,,EURO6,non,,,,131 ch,7 CV,,,Vendeur professionnel,,,Peugeot,308 (2E GENERATION) SW,Bien équipé,PEUGEOT 308 II (2) SW 1.2 PURETECH 130 S&S ALLURE BUSINESS EAT8,22 400 €,E111329876,VS59126,117 g/km,Essence
2020,,mécanique,,B,,5.5 l/100km,non requis,bleu,,1,12 mois,,,48 382 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111038092.html,ESCALQUENS (31),01/04/2020,AUDI TOULOUSE,5,5,1,EURO6,non,,,,150 ch,8 CV,,,Vendeur professionnel,,Audi occasions :plus,Audi,A3 (3E GENERATION) SPORTBACK,Très bien équipé,AUDI A3 III (2) SPORTBACK 35 TFSI 150 COD DESIGN LUXE,29 140 €,E111038092,66799,119 g/km,Essence
2022,,automatique,,D,,6.6 l/100km,non requis,Schwarz-Magic Perleffekt,Schwarz Dynamic rot,1,24 mois,en cours,,28 031 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111118032.html,NIMES (30),01/02/2023,SKODA ESPACE AUTOMOBILE NIMOIS,5,5,1,EURO6,non,,,,150 ch,8 CV,,,Vendeur professionnel,,,Skoda,KAROQ,Très bien équipé,SKODA KAROQ 1.5 TSI 150 ACT SPORTLINE DSG7,42 070 €,E111118032,1410_41034,151 g/km,Essence
2020,,mécanique,,B,,4.8 l/100km,non requis,blanc,,1,12 mois,,,35 616 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111323492.html,PARIS 15EME (75),26/01/2021,SPOTICAR STELLANTIS &YOU PARIS GRENELLE,5,5,1,EURO6,oui,,,,110 ch,5 CV,,,Vendeur professionnel,,SPOTICAR,Peugeot,2008,Très bien équipé,PEUGEOT 2008 (2) 1.2 PURETECH 110 5CV S&S ALLURE,20 520 €,E111323492,425306,104 g/km,Essence
1986,,automatique,,,,,requis,rouge,,,,,,138 341 Km,https://www.lacentrale.fr/auto-occasion-annonce-69111112678.html,BOULAZAC ISLE MANOIRE (24),26/05/1986,CENTRALE AUTO MARCHE BOULAZAC,,2,,,non,,,Importé,170 ch,29 CV,,,Vendeur professionnel,,,Chevrolet,C10,,CHEVROLET SILVERADO V8 305CI SILVERADO 5.0L,45 380 €,E111112678,943VO220501,,Essence
2018,,mécanique,,B,,4.2 l/100km,requis,noir,,2,12 mois,,,130 910 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111256407.html,MARSEILLE (13),13/08/2018,SPOTICAR STELLANTIS &YOU MARSEILLE RABATAU,5,5,2,EURO6,non,,,,114 ch,6 CV,,,Vendeur professionnel,,SPOTICAR,Citroen,C4 AIRCROSS,Très bien équipé,CITROEN C4 AIRCROSS 1.6 HDI 115 S&S 4X2 EXCLUSIVE BV6,14 960 €,E111256407,435059,119 g/km,Diesel
2017,,automatique,,A,,1.5 l/100km,requis,gris,noir,1,12 mois,,,140 066 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111343202.html,PARIS (75),03/11/2017,AUTOHERO - PARIS - 100% VENTE A DISTANCE,5,5,,EURO6,non,,oui,,150 ch,6 CV,,oui,Vendeur professionnel,,,Audi,A3 (3E GENERATION) SPORTBACK,Bien équipé,AUDI A3 III SPORTBACK 1.4 TFSI E-TRON 204 AMBIENTE S TRONIC,21 240 €,E111343202,EV24186,37 g/km,Hybride essence électrique
2021,,mécanique,,A,,4.3 l/100km,non requis,blanc,,1,12 mois,,,29 194 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111275443.html,VILLENEUVE D ASCQ (59),08/05/2021,SPOTICAR STELLANTIS &YOU VILLENEUVE D'ASCQ,5,5,1,EURO6,non,,,,83 ch,4 CV,,,Vendeur professionnel,,SPOTICAR,Citroen,C3 (3E GENERATION),Bien équipé,CITROEN C3 III 1.2 PURETECH 82 S&S GRAPHIC,16 950 €,E111275443,448011,96 g/km,Essence
2023,,automatique,,C,,4.5 l/100km,non requis,noir,,2,,,,7 380 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111029749.html,FONTENAY SOUS BOIS (94),03/07/2023,SPOTICAR STELLANTIS &YOU FONTENAY SS BOIS,5,5,1,EURO6,oui,,,,131 ch,7 CV,,,Vendeur professionnel,,SPOTICAR,Peugeot,308 (3E GENERATION) SW,Bien équipé,PEUGEOT 308 III SW 1.5 BLUEHDI 130 S&S ALLURE PACK EAT8,41 800 €,E111029749,429041,121 g/km,Diesel
2019,41 Km,automatique,7.6 kWh,A,13 kWh/100km,,non requis,gris foncé opaque (verni sans reflet),tissu noir,1,12 mois,,,37 567 Km,https://www.lacentrale.fr//auto-occasion-annonce-87102349209.html,AVIGNON (84),28/12/2019,DS STORE AVIGNON,5,5,,EURO6,non,,,Importé,224 ch,6 CV,165 kW,oui,Vendeur professionnel,,,Mini,COUNTRYMAN 2,Bien équipé,MINI COUNTRYMAN II COOPER SE ALL4 SALT 136+88 BVA6,40 250 €,W102349209,COUNTRYse,55 g/km,Hybride essence électrique
2023,,automatique,,,,,non requis,gris foncé,,2,23 mois,,,11 Km,https://www.lacentrale.fr/auto-occasion-annonce-69110985302.html,SAINT ANGEAU (16),06/09/2023,BONCOUR AUTOMOBILES,2,4,1,EURO6,non,,,,185 ch,10 CV,,,Vendeur professionnel,,,Ford,TRANSIT CUSTOM 2 NUGGET,Equipement standard,FORD TRANSIT CUSTOM II 320 L1H1 2.0 ECOBLUE 185 BVA TREND,72 780 €,E110985302,0702u0000224,,Diesel
2023,,automatique,,C,,5.3 l/100km,non requis,blanc,,2,12 mois,,,8 450 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111077775.html,LOMME LILLE (59),14/09/2023,SPOTICAR STELLANTIS &YOU LOMME,7,5,1,EURO6,non,,,,131 ch,7 CV,,,Vendeur professionnel,,SPOTICAR,Peugeot,5008 (2E GENERATION),Bien équipé,PEUGEOT 5008 II (2) 1.5 BLUEHDI 130 S&S ALLURE PACK EAT8,48 170 €,E111077775,436537,140 g/km,Diesel
2023,,automatique,,D,,5.5 l/100km,non requis,blanc,,2,21 mois,,,11 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111336249.html,ISLES LES VILLENOY (77),06/08/2023,QARSON,5,5,,EURO6,non,,,Européen,150 ch,8 CV,110 kW,,Vendeur professionnel,,,Volkswagen,TIGUAN 2,Equipement standard,VOLKSWAGEN TIGUAN II (2) 2.0 TDI 150 LIFE BUSINESS DSG7,41 690 €,E111336249,LCuS67241uNew,144 g/km,Diesel
2021,,automatique,,B,,4.5 l/100km,non requis,gris,,2,1 mois,en cours,,42 611 Km,https://www.lacentrale.fr//auto-occasion-annonce-69110376230.html,PERPIGNAN (66),24/11/2021,PELLETIER AUTO,5,5,1,EURO6,oui,,,,150 ch,8 CV,,,Vendeur professionnel,,,Volkswagen,GOLF 8,Equipement standard,VOLKSWAGEN GOLF VIII 2.0 TDI SCR 150 LIFE BUSINESS 1ST DSG7,34 580 €,E110376230,118VO009161,114 g/km,Diesel
2019,,mécanique,,C,,5.6 l/100km,non requis,rouge,,1,12 mois,,,97 506 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111305906.html,RILLIEUX LA PAPE (69),01/05/2019,SPOTICAR STELLANTIS &YOU LYON RILLIEUX HIPPODROME 971,5,3,,EURO6,non,,,,165 ch,9 CV,,,Vendeur professionnel,,SPOTICAR,Ds,3,Très bien équipé,DS DS 3 (2) 1.6 THP 165 SPORT CHIC BV6,15 570 €,E111305906,438259,129 g/km,Essence
2019,,mécanique,,A,,3.9 l/100km,non requis,violet,,1,12 mois,,,48 160 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111239087.html,MURET (31),08/08/2019,RENAULT MURET NORD,4,5,2,EURO6,non,,,,90 ch,4 CV,,,Vendeur professionnel,,,Renault,TWINGO 3,Bien équipé,RENAULT TWINGO III (2) 0.9 TCE 95 ZEN,11 740 €,E111239087,0726u0000194,99 g/km,Essence
2020,,automatique,,B,,5.2 l/100km,non requis,noir,cuir,1,12 mois,,,34 657 Km,https://www.lacentrale.fr//auto-occasion-annonce-69110942037.html,CHANAS (38),29/01/2021,CHANAS AUTO,4,2,1,EURO6,oui,,,,150 ch,8 CV,,,Vendeur professionnel,,,Audi,A3 (3E GENERATION) CABRIOLET,Très bien équipé,AUDI A3 III (2) CABRIOLET 1.5 TFSI 150 DESIGN LUXE S TRONIC 7,37 430 €,E110942037,236429,113 g/km,Essence
2017,,automatique,,B,,4.1 l/100km,requis,noir,,2,6 mois,,,214 575 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111016899.html,MARSEILLE (13),15/12/2017,SPOTICAR STELLANTIS &YOU MARSEILLE RABATAU,5,5,4,EURO6,non,,oui,,163 ch,8 CV,,non,Vendeur professionnel,,SPOTICAR,Peugeot,508 RXH,Très bien équipé,PEUGEOT 508 RXH 2.0 HDI 163 FAP + ELECTRIQUE 37 BMP6,16 610 €,E111016899,421202,107 g/km,Hybride diesel électrique
2022,,automatique,,,86 kWh/100km,,non requis,orange metal,cuir gris,1,12 mois,,,11 340 Km,https://www.lacentrale.fr//auto-occasion-annonce-87102433972.html,CLERMONT FERRAND (63),02/11/2022,CENTRE PORSCHE CLERMONT LIMOGES,5,5,,EURO6,oui,,,Importé,680 ch,46 CV,500 kW,oui,Vendeur professionnel,,PORSCHE APPROVED,Porsche,CAYENNE 3 COUPE,Très bien équipé,PORSCHE CAYENNE III COUPE 4.0 V8 680 TURBO S E-HYBRID TIPTRONIC BVA,210 490 €,W102433972,436,,Hybride essence électrique
2022,359 Km,automatique,50 kWh,A,,,non requis,Noir,Noir,0,,,,13 800 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111295664.html,BELLEVILLE (69),06/09/2022,GARAGE DANIEL - 69220 BELLEVILLE,5,5,2,EURO6,non,,oui,,78 ch,4 CV,,oui,Vendeur professionnel,,,Opel,CORSA 6,Bien équipé,OPEL CORSA VI MOTEUR ELECTRIQUE 136 CORSA-E ELEGANCE 5P,29 870 €,E111295664,1342_3881,0 g/km,Electrique
