Année,Autonomie_constructeur,Boîte_de_vitesse,Capacité_batterie,Classe_Emission,Conso_batterie,Consommation_mixte,Contrôle_technique,Couleur_extérieure,Couleur_intérieure,CritAir,Garantie,Garantie_constructeur,Intensité_batterie,Kilométrage_compteur,Lien,Localisation,Mise_en_circulation,Nom_Vendeur,Nombre_de_places,Nombre_de_portes,Nombre_de_propriétaires,Norme_Euro,Première_main,Prime_à_la_conversion,Prix_inclut_la_batterie,Provenance,Puissance_din,Puissance_fiscale,Puissance_moteur,Rechargeable,Type_Vendeur,Voltage_batterie,Vérifié_Et_Garanti,marque,modele,niveau_equipement,nom_complet,prix,ref_annonce,ref_pro,Émissions_de_CO2,Énergie
2021,,automatique,,D,,5.5 l/100km,non requis,gris anthracite mat,cuir noir,2,,,,77 040 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102134421.html,20,27/11/2021,M. ou Mme G.,5,5,1,EURO6,oui,,,,120 ch,6 CV,88 kW,,Vendeur particulier,,,Jeep,RENEGADE,Bien équipé,JEEP RENEGADE (2) 1.6 L MULTIJET 120 LIMITED BVR6,20 860 €,B102134421,,145 g/km,Diesel
2006,,automatique,,F,,6.2 l/100km,requis,gris anthracite metal,cuir gris,4,,,,340 000 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102143889.html,57,18/05/2006,M. ou Mme D.,5,4,1,EURO3,oui,,,Importé,224 ch,15 CV,165 kW,,Vendeur particulier,,,Audi,A6 (3E GENERATION),Equipement standard,AUDI A6 III V6 3.0 TDI 224 AMBITION QUATTRO TIPTRONIC,6 250 €,B102143889,,226 g/km,Diesel
2017,,automatique,,B,,4.2 l/100km,requis,noir metal,cuir noir,1,,,,53 410 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102153491.html,92,20/12/2017,M. ou Mme V.,5,5,3,EURO6,non,,,,150 ch,8 CV,110 kW,,Vendeur particulier,,,Audi,A1 SPORTBACK,Très bien équipé,AUDI A1 (2) SPORTBACK 1.4 TFSI 150 COD S LINE S TRONIC,22 340 €,B102153491,,111 g/km,Essence
2019,,mécanique,,C,,4.6 l/100km,non requis,noir verni,cuir/tissu noir,1,,,,74 907 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102141682.html,56,14/10/2019,M. ou Mme M.,5,5,2,EURO6,non,,,,136 ch,7 CV,100 kW,,Vendeur particulier,,,Mini,3 CLUBMAN,Très bien équipé,MINI MINI CLUBMAN III CLUBMAN COOPER 136 KENSINGTON BV6,27 670 €,B102141682,,123 g/km,Essence
2019,,automatique,,D,,6.4 l/100km,non requis,gris quartz metal,cuir noir,2,,,,197 680 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102155006.html,74,14/01/2020,M. ou Mme R.,5,5,2,EURO6,oui,,,,177 ch,10 CV,129 kW,,Vendeur particulier,,,Renault,KOLEOS 2,Bien équipé,RENAULT KOLEOS II 2.0 DCI 175 INTENS 4X4 X-TRONIC,16 000 €,B102155006,,156 g/km,Diesel
2011,,automatique,,D,,5.4 l/100km,requis,noir opaque (verni sans reflet),alcantara noir,1,,,,47 190 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102151424.html,75,27/07/2011,M. ou Mme D.,4,3,2,EURO5,oui,,,,180 ch,10 CV,132 kW,,Vendeur particulier,,,Abarth,500 (2E GENERATION),Equipement standard,ABARTH 500 II 1.4 TURBO 180 695 TRIBUTO FERRARI BVA,33 270 €,B102151424,,151 g/km,Essence
2018,,automatique,,C,,4.9 l/100km,requis,noir metal,alcantara noir,1,,,,50 616 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102148747.html,77,23/10/2018,M. ou Mme N.,4,3,4,EURO6,non,,,,231 ch,13 CV,170 kW,,Vendeur particulier,,,Mini,3 3P,Bien équipé,MINI MINI III (2) 2.0 231 JOHN COOPER WORKS ANNIVERSARY 231CH BVA8,31 630 €,B102148747,,133 g/km,Essence
2019,,automatique,,B,,4 l/100km,non requis,noir metal,cuir rouge,2,,,,116 620 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102115974.html,75,03/01/2020,M. ou Mme S.,5,5,2,EURO6,non,,,,116 ch,6 CV,85 kW,,Vendeur particulier,,,Mercedes,CLASSE A 4,Equipement standard,MERCEDES CLASSE A IV 180 D AMG LINE 7G-DCT,33 200 €,B102115974,,107 g/km,Diesel
2020,,automatique,,B,,4.5 l/100km,non requis,bleu metal,cuir noir,2,,,,43 173 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102136291.html,73,30/06/2020,M. ou Mme G.,5,5,2,EURO6,non,,,,150 ch,8 CV,110 kW,,Vendeur particulier,,,Volvo,V60 (2E GENERATION),Equipement standard,VOLVO V60 II D3 ADBLUE 150 GEARTRONIC 8 R-DESIGN,36 660 €,B102136291,,120 g/km,Diesel
2015,,mécanique,,A,,3.4 l/100km,requis,gris clair metal,tissu noir,2,,,,171 335 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102149238.html,77,17/11/2015,M. ou Mme B.,5,5,2,EURO6,non,,,Importé,110 ch,5 CV,77 kW,,Vendeur particulier,,,Volkswagen,GOLF 7,Equipement standard,VOLKSWAGEN GOLF VII 1.6 TDI 105 BLUEMOTION TECHNOLOGY CUP 5P,14 280 €,B102149238,,99 g/km,Diesel
2018,,mécanique,,D,,4.9 l/100km,requis,noir metal,tissu noir,2,,en cours,,87 472 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102152547.html,84,06/08/2018,M. ou Mme S.,7,5,1,EURO6,oui,,,,200 ch,11 CV,147 kW,,Vendeur particulier,,,Kia,SORENTO 3,Equipement standard,KIA SORENTO III 2.2 CRDI 200 ISG ACTIVE 4X2,22 550 €,B102152547,,149 g/km,Diesel
2010,,mécanique,,C,,4.1 l/100km,requis,gris metal,cuir noir,2,,,,154 829 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102156576.html,63,08/09/2010,M. ou Mme A.,5,4,3,EURO5,non,,,,143 ch,7 CV,105 kW,,Vendeur particulier,,,Bmw,SERIE 3 E90,Très bien équipé,BMW SERIE 3 (E90) (2) 318D 143 EDITION LUXE,9 520 €,B102156576,,123 g/km,Diesel
2020,,automatique,,D,,5.9 l/100km,non requis,gris foncé metal,cuir noir,2,,,,69 135 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102148925.html,34,26/03/2020,M. ou Mme M.,5,5,2,EURO6,oui,,,,204 ch,12 CV,150 kW,,Vendeur particulier,,,Mercedes,GLC,Très bien équipé,MERCEDES GLC 250 D 4MATIC FASCINATION,50 260 €,B102148925,,155 g/km,Diesel
2001,,mécanique,,C,,4.2 l/100km,requis,gris foncé verni,cuir noir,5,,,,213 408 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102155296.html,77,17/12/2001,M. ou Mme W.,5,3,3,EURO2,oui,,,,115 ch,6 CV,85 kW,,Vendeur particulier,,,Volkswagen,GOLF 4,,VOLKSWAGEN GOLF IV TDI 115 CONFORT PLUS BV6 3P,4 640 €,B102155296,,138 g/km,Diesel
2018,,mécanique,,A,,3.5 l/100km,non requis,gris anthracite metal,tissu gris,2,,,,95 580 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102134390.html,33,22/11/2018,M. ou Mme C.,5,5,2,EURO6,non,,,,120 ch,6 CV,88 kW,,Vendeur particulier,,,Citroen,C4 PICASSO 2,Bien équipé,CITROEN C4 PICASSO II (2) 1.6 BLUEHDI 120 S&S FEEL BV6,16 870 €,B102134390,,100 g/km,Diesel
2014,,automatique,,E,,5.1 l/100km,requis,gris anthracite metal,cuir/tissu noir,2,,,,292 820 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102155708.html,77,15/05/2014,M. ou Mme C.,5,5,2,EURO5,non,,,,163 ch,9 CV,120 kW,,Vendeur particulier,,,Citroen,C5 (2E GENERATION) TOURER,Equipement standard,CITROEN C5 II (2) TOURER HDI 160 FAP EXCLUSIVE BVA6,7 620 €,B102155708,,163 g/km,Diesel
2018,,automatique,,G,,11.8 l/100km,requis,beige metal,cuir noir,1,,,,44 895 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102146197.html,51,14/04/2018,M. ou Mme C.,5,5,4,EURO6,non,,,,571 ch,50 CV,420 kW,,Vendeur particulier,,,Mercedes,CLASSE G 3 AMG,Equipement standard,MERCEDES CLASSE G III 63 AMG 50CV LONG 7G-TRONIC SPEEDSHIFT PLUS AMG,141 320 €,B102146197,,322 g/km,Essence
2020,,automatique,,E,,7.5 l/100km,non requis,blanc verni,cuir noir,2,,,,32 200 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102126281.html,83,17/10/2020,M. ou Mme V.,5,5,2,EURO6,oui,,,,327 ch,21 CV,240 kW,,Vendeur particulier,,,Bmw,X4 G02,Très bien équipé,BMW X4 (G02) M40DA 326,71 870 €,B102126281,,170 g/km,Diesel
2018,,automatique,,D,,5 l/100km,non requis,bleu marine metal,cuir beige,2,,,,114 345 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102147959.html,65,26/11/2018,M. ou Mme A.,5,5,2,EURO6,non,,,Importé,259 ch,15 CV,190 kW,,Vendeur particulier,,,Bmw,SERIE 3 GT F34,Bien équipé,BMW SERIE 3 GT (F34) (2) 330D XDRIVE 258 SPORT BVA8,30 120 €,B102147959,,144 g/km,Diesel
2019,,automatique,,B,,5.1 l/100km,non requis,noir metal,cuir/tissu gris,1,,,,18 150 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102153356.html,83,25/01/2020,M. ou Mme G.,4,3,2,EURO6,oui,,,,102 ch,5 CV,75 kW,,Vendeur particulier,,,Mini,3 3P,Bien équipé,MINI MINI III 1.5 ONE 102 EDITION HEDDON STREET BVA7,25 650 €,B102153356,,117 g/km,Essence
2018,,automatique,,C,,4.9 l/100km,requis,gris clair metal,alcantara rouge,1,,,,93 000 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102162725.html,67,18/10/2018,M. ou Mme V.,4,3,3,EURO6,non,,,,231 ch,13 CV,170 kW,,Vendeur particulier,,,Mini,3 JCW 3P,Très bien équipé,MINI MINI III 2.0 231 JOHN COOPER WORKS BVA6,36 200 €,B102162725,,133 g/km,Essence
2002,,mécanique,,E,,5.9 l/100km,requis,jaune verni,cuir bleu,3,,,,69 495 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102155962.html,78,14/01/2003,M. ou Mme G.,2,2,1,EURO3,non,,,,116 ch,8 CV,87 kW,,Vendeur particulier,,,Bmw,Z3,,BMW Z3 ROADSTER 1.9 118,20 290 €,B102155962,,189 g/km,Essence
2020,,automatique,,B,,5.3 l/100km,non requis,gris clair metal,alcantara noir,1,,,,48 980 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102158441.html,54,15/10/2020,M. ou Mme B.,5,5,2,EURO6,non,,,Importé,163 ch,8 CV,120 kW,,Vendeur particulier,,,Mercedes,CLASSE A 4,Très bien équipé,MERCEDES CLASSE A IV 200 AMG LINE 7G-DCT,40 790 €,B102158441,,118 g/km,Essence
2019,,mécanique,,A,,3.2 l/100km,non requis,bleu marine verni,tissu noir,2,,,,97 650 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102153613.html,27,08/12/2019,M. ou Mme O.,5,5,2,EURO6,non,,,,86 ch,4 CV,63 kW,,Vendeur particulier,,,Ford,FIESTA 6,Equipement standard,FORD FIESTA VI 1.5 TDCI 85 S&S ESSENTIAL 5P,9 710 €,B102153613,,93 g/km,Diesel
2012,,mécanique,,C,,4.9 l/100km,requis,noir verni,simili cuir gris,2,,,,261 250 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102147522.html,73,02/12/2012,M. ou Mme P.,5,5,3,EURO5,non,,,,107 ch,6 CV,79 kW,,Vendeur particulier,,,Dacia,DUSTER,Très bien équipé,DACIA DUSTER 1.5 DCI 110 4X2 PRESTIGE,6 750 €,B102147522,,139 g/km,Diesel
2004,,mécanique,,G,,8.5 l/100km,requis,bleu marine metal,cuir gris/bleu,3,,,,130 900 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102017874.html,51,21/06/2004,M. ou Mme P.,4,2,3,EURO3,non,,,,320 ch,23 CV,254 kW,,Vendeur particulier,,,Porsche,911 TYPE 996,,PORSCHE 911 (996) (2) 3.6 CARRERA 40 ANS,41 800 €,B102017874,,277 g/km,Essence
2015,,mécanique,,C,,4.8 l/100km,requis,gris anthracite verni,cuir/tissu gris,1,,,,126 540 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102149569.html,91,07/09/2015,M. ou Mme P.,5,5,2,EURO6,non,,,,156 ch,8 CV,115 kW,,Vendeur particulier,,,Mercedes,GLA,Bien équipé,MERCEDES GLA 200 SENSATION,19 950 €,B102149569,,135 g/km,Essence
